
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.dialogs.VideoTracksDialog
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.StartActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_android.settings.MANAGE_APP_ALL_FILES_ACCESS_PERMISSION, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity

org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.dialogs.ContextSheet
org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.dialogs.NetworkServerDialog
org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.browser.MainBrowserFragment -> org.videolan.vlc.gui.dialogs.SavePlaylistDialog

org.videolan.vlc.gui.helpers.AudioUtil -> interICC_android.settings.MANAGE_APP_ALL_FILES_ACCESS_PERMISSION, 
org.videolan.vlc.gui.helpers.AudioUtil -> interICC_new org.videolan.vlc.util.Permissions

org.videolan.vlc.util.WidgetMigration -> org.videolan.vlc.gui.dialogs.WidgetMigrationDialog

org.videolan.vlc.gui.browser.FilePickerActivity -> org.videolan.vlc.gui.browser.FilePickerFragment
org.videolan.vlc.gui.browser.FilePickerActivity -> org.videolan.vlc.gui.browser.FileBrowserFragment

org.videolan.vlc.gui.preferences.PreferencesActivity -> org.videolan.vlc.gui.preferences.PreferencesActivity
org.videolan.vlc.gui.preferences.PreferencesActivity -> org.videolan.vlc.gui.preferences.search.PreferenceSearchActivity
org.videolan.vlc.gui.preferences.PreferencesActivity -> org.videolan.vlc.gui.preferences.PreferencesFragment

org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.StartActivity
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.widget.MiniPlayerConfigureActivity
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.StartActivity
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> interICC_INIT, 
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.StartActivity
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.widget.MiniPlayerConfigureActivity
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.widget.MiniPlayerConfigureActivity
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService
org.videolan.vlc.widget.MiniPlayerAppWidgetProvider -> org.videolan.vlc.PlaybackService

org.videolan.mobile.app.AppSetupDelegate -> org.videolan.vlc.gui.CompatErrorActivity
org.videolan.mobile.app.AppSetupDelegate -> org.videolan.vlc.widget.MiniPlayerAppWidgetProvider

org.videolan.television.ui.preferences.PreferencesUi -> org.videolan.television.ui.dialogs.ConfirmationTvActivity
org.videolan.television.ui.preferences.PreferencesUi -> org.videolan.vlc.gui.dialogs.FeatureTouchOnlyWarningDialog

org.videolan.television.ui.OnboardingFragment -> org.videolan.television.ui.MainTvActivity

org.videolan.vlc.gui.SecondaryActivity -> androidx.fragment.app.Fragment
org.videolan.vlc.gui.SecondaryActivity -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.SecondaryActivity -> org.videolan.vlc.gui.dialogs.RenderersDialog
org.videolan.vlc.gui.SecondaryActivity -> org.videolan.vlc.gui.SearchActivity
org.videolan.vlc.gui.SecondaryActivity -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
